Pond,Date,Week,Block,Rep,Dreisse,Macrophytes,Nutrients,TreatNR,Treatment,pH,TN,orthoP,TP,Nitrate,Temperature,O2,Turbidity,CHL,TED,CtoN,CtoP,c_Cyanobacteria,c_Golden_algae,c_Diatoms,c_Dinoflagellates,c_Cryptophytes,c_Green_algae,c_Achnthaceae,c_Aphanocapsa,c_Asterionella,c_Bicosoeca,c_Carteria,c_Chlamydomos,c_Chroococus,c_Coelastrum_1,c_Coelastrum_2,c_Coelastrum_3,c_Cosmarium_1,c_Cosmarium_2,c_Cryptomos,c_Cyclotella_1,c_Cyclotella_2,c_Diatoma,c_Elakatothrix,c_Erkenia,c_Gomphosphaeria,c_Gymnodinium,c_Haematococcaceae,c_Katablepharis,c_Kirchneriella,c_Lagerheimia_1,c_Lagerheimia_2,c_Leptothrix,c_Mallomos,c_Monoraphidium,c_Nephrocitium,c_Nitzschia,c_Oocystis_1,c_Oocystis_2,c_Pediastrum,c_Peridinium,c_Phacotus,c_Phormidium,c_Pseudoabae,c_Rayssiella,c_Rhodomos,c_Scenedesmus_1,c_Scenedesmus_2,c_Scenedesmus_3,c_Scenedesmus_4,c_Spiruli,c_Stephanodiscus_1,c_Stephanodiscus_2,c_Stephanodiscus_3,c_Synechococcales,c_Synedra_1,c_Synedra_2,c_Synedra_3,c_Tetraedron,c_Willea,c_Unknown_1,c_Unknown_2,c_Unknown_3,c_Unknown_4,c_Unknown_5,c_Unknown_6,c_Unknown_7,c_Unknown_8,c_Unknown_9,c_Unknown_10,c_Unkonwn_11,c_Unknown_12,c_Unknown_13,c_Keratella,c_Others,v_Cyanobacteria,v_Golden_algae,v_Diatoms,v_Dinoflagellates,v_Cryptophytes,v_Green_algae,v_Achnthaceae,v_Aphanocapsa,v_Asterionella,v_Bicosoeca,v_Carteria,v_Chlamydomos,v_Chroococus,v_Coelastrum_1,v_Coelastrum_2,v_Coelastrum_3,v_Cosmarium_1,v_Cosmarium_2,v_Cryptomos,v_Cyclotella_1,v_Cyclotella_2,v_Diatoma,v_Elakatothrix,v_Erkenia,v_Gomphosphaeria,v_Gymnodinium,v_Haematococcaceae,v_Katablepharis,v_Kirchneriella,v_Lagerheimia_1,v_Lagerheimia_2,v_Leptothrix,v_Mallomos,v_Monoraphidium,v_Nephrocitium,v_Nitzschia,v_Oocystis_1,v_Oocystis_2,v_Pediastrum,v_Peridinium,v_Phacotus,v_Phormidium,v_Pseudoabae,v_Rayssiella,v_Rhodomos,v_Scenedesmus_1,v_Scenedesmus_2,v_Scenedesmus_3,v_Scenedesmus_4,v_Spiruli,v_Stephanodiscus_1,v_Stephanodiscus_2,v_Stephanodiscus_3,v_Synechococcales,v_Synedra_1,v_Synedra_2,v_Synedra_3,v_Tetraedron,v_Willea,v_Unknown_1,v_Unknown_2,v_Unknown_3,v_Unknown_4,v_Unknown_5,v_Unknown_6,v_Unknown_7,v_Unknown_8,v_Unknown_9,v_Unknown_10,v_Unkonwn_11,v_Unknown_12,v_Unknown_13,Daphnia_adult,Copepod_adult
2B,10/3/2016,13,2,3,0,0,1,4,C,9.41,0.25,1,6.2,0.125,15.9,,2.4,25.36585366,0.091608042,11.0143064,325.0713196,52785,0,230,115,0,8625,115,0,0,0,0,115,0,0,115,0,0,0,0,57.5,57.5,0,0,0,0,0,0,0,0,6037.5,2300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52612.5,0,0,0,0,0,0,0,172.5,0,0,115,0,0,0,57.5,0,0,0,0,0,887760.7752,0,210283.9886,69058.07086,0,5995874.514,158976,0,0,0,0,25650.14059,0,0,328272.4724,0,0,0,0,46776.05267,4531.935898,0,0,0,0,0,0,0,0,2175329.231,3462768.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,846269.6625,0,0,0,0,0,0,0,41491.11235,0,0,69058.07086,0,0,0,3853.686989,0,0,0,1,10
2C,10/3/2016,13,2,2,1,1,1,3,MD,9.79,0.25,0.5,24.2,0.125,15.7,,4.3,35.80487805,-0.006943264,21.9955854,442.2579829,500480,0,747.5,747.5,57.5,22827.5,575,0,0,0,0,0,230,0,0,0,57.5,0,57.5,172.5,0,0,0,0,0,0,0,0,0,18055,2990,0,0,0,0,0,0,0,0,632.5,0,0,0,0,0,0,0,0,0,0,0,0,0,500250,0,0,0,0,0,0,0,0,0,0,115,0,0,0,1725,0,0,0,0,0,8059816.774,0,935208.1578,3366704.271,55493.09263,11184139.55,794880,0,0,0,0,0,13318.34223,0,0,0,61658.99179,0,55493.09263,140328.158,0,0,0,0,0,0,0,0,0,6505270.274,4501599.674,0,0,0,0,0,0,0,0,3297646.2,0,0,0,0,0,0,0,0,0,0,0,0,0,8046498.434,0,0,0,0,0,0,0,0,0,0,69058.07086,0,0,0,115610.6096,0,0,0,0,0
2D,10/3/2016,13,2,1,0,1,1,1,M,9.6,0.25,1,15,0.125,15.8,,3.4,10.6989368,0.062351302,19.48555953,366.9908433,276000,0,517.5,115,0,3795,230,0,0,0,0,57.5,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,2875,690,0,0,0,0,57.5,0,0,0,57.5,0,0,0,0,0,0,0,0,0,0,0,0,0,276000,0,0,0,0,0,0,0,0,0,115,57.5,0,0,0,172.5,0,0,0,0,0,4439447.41,0,612638.1856,334315.0536,0,2099087.888,317952,0,0,0,0,12825.0703,0,0,0,0,0,0,0,93552.10532,0,0,0,0,0,0,0,0,0,1035871.062,1038830.694,0,0,0,0,52756.48,0,0,0,299786.0182,0,0,0,0,0,0,0,0,0,0,0,0,0,4439447.41,0,0,0,0,0,0,0,0,0,148377.6,34529.03542,0,0,0,11561.06096,0,0,0,0,1
3A,10/3/2016,13,3,4,0,0,1,4,C,9.89,0.25,1.1,38.7,0.125,15.8,,6,42.76422764,0.175010039,18.74473328,473.2607762,108502.5,0,747.5,805,172.5,38237.5,172.5,0,0,0,0,0,0,0,24035,10350,0,0,172.5,57.5,517.5,0,0,0,0,0,0,0,0,3105,230,0,0,0,0,0,0,0,0,402.5,0,0,0,460,0,0,0,57.5,0,0,0,0,0,107525,0,0,0,0,0,977.5,0,0,0,0,402.5,0,0,0,0,0,0,0,0,0,1743353.801,0,326027.4758,2340205.375,166479.2779,72299126.38,238464,0,0,0,0,0,0,0,68608946.76,2022723.226,0,0,166479.2779,46776.05267,40787.42308,0,0,0,0,0,0,0,0,1118740.748,346276.898,0,0,0,0,0,0,0,0,2098502.127,0,0,0,195779.6308,0,0,0,6659.171117,0,0,0,0,0,1729534.72,0,0,0,0,0,13819.08069,0,0,0,0,241703.2479,0,0,0,0,0,0,0,5,5
3B,10/3/2016,13,3,2,0,0,0,5,O,8.63,0.25,0.5,7.7,0.125,16.1,,0.8,6.43902439,0.006821455,11.6315957,675.9143767,1667.5,6612.5,230,287.5,0,632.5,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6612.5,0,0,0,0,0,632.5,0,0,0,0,0,0,0,0,0,287.5,0,0,0,0,0,0,0,0,0,0,0,0,0,575,0,0,0,0,0,0,1092.5,0,0,0,0,0,0,0,0,0,0,0,0,0,33774.70629,434310.5236,317952,1498930.091,0,227891.6338,317952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,434310.5236,0,0,0,0,0,227891.6338,0,0,0,0,0,0,0,0,0,1498930.091,0,0,0,0,0,0,0,0,0,0,0,0,0,9248.848774,0,0,0,0,0,0,24525.85752,0,0,0,0,0,0,0,0,0,0,0,0,15
3C,10/3/2016,13,3,3,0,0,0,5,O,8.31,0.25,0.5,6.2,0.125,15.9,,0.4,1.691056911,0.225848865,10.99647763,570.9153704,517.5,57.5,0,172.5,0,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.5,0,0,0,0,0,172.5,0,0,0,0,0,0,0,0,0,57.5,0,0,0,0,0,0,0,0,0,0,0,0,0,517.5,0,0,0,0,0,0,0,0,0,0,115,0,0,0,57.5,0,0,0,0,0,8323.963896,3776.613249,0,368844.089,0,66005.95074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3776.613249,0,0,0,0,0,62152.26376,0,0,0,0,0,0,0,0,0,299786.0182,0,0,0,0,0,0,0,0,0,0,0,0,0,8323.963896,0,0,0,0,0,0,0,0,0,0,69058.07086,0,0,0,3853.686989,0,0,0,6,19
3D,10/3/2016,13,3,2,0,1,1,1,M,9.47,0.25,0.5,11.4,0.125,15.8,,0.7,5.463414634,0.458810781,10.21345126,275.7606648,575,0,115,0,230,460,0,0,0,0,0,172.5,0,0,0,0,230,0,230,115,0,0,0,0,0,0,0,0,0,57.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,460,0,0,0,0,0,0,0,0,0,0,0,0,0,12176.44661,0,93552.10532,0,221972.3705,305828.5994,0,0,0,0,0,38475.21089,0,0,0,0,246635.9673,0,221972.3705,93552.10532,0,0,0,0,0,0,0,0,0,20717.42125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1849.769754,0,0,0,0,0,0,10326.67685,0,0,0,0,0,0,0,0,0,0,0,28,61
4A,10/3/2016,13,4,2,1,0,1,2,D,8.87,0.53,1,19.4,0.317,15.6,,0.8,7.25203252,0.271668657,8.345626306,255.2197168,172.5,115,287.5,0,402.5,3220,287.5,0,0,0,0,2357.5,0,57.5,0,0,0,0,402.5,0,0,0,0,115,0,0,0,0,57.5,57.5,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,57.5,0,0,0,0,0,0,0,57.5,0,0,0,0,172.5,517.5,0,0,0,0,0,0,32674.90016,7553.226496,397440,0,388451.6484,690931.3936,397440,0,0,0,0,525827.8822,0,7892.350951,0,0,0,0,388451.6484,0,0,0,0,7553.226496,0,0,0,0,2096.405722,20717.42125,0,0,0,0,0,0,0,0,0,0,0,35839.28899,0,0,0,0,0,0,0,0,0,0,0,924.8848774,0,0,0,0,0,0,0,13830.37078,0,0,0,0,81288.70991,53108.62381,0,0,0,0,30,77
4B,10/3/2016,13,4,3,1,1,1,3,MD,8.91,0.25,0.5,12,0.125,15.7,,0.6,3.824390244,0.291103066,11.78590492,234.6809678,5002.5,1092.5,460,0,0,2587.5,115,0,0,0,0,230,0,0,230,172.5,0,0,0,0,0,0,0,1092.5,57.5,0,0,0,1207.5,747.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3967.5,0,0,345,0,0,0,977.5,0,0,0,0,0,0,0,0,0,0,0,0,0,196747.4301,71755.65174,314226,0,0,1054908.276,158976,0,0,0,0,51300.28119,0,0,656544.9446,33712.05378,0,0,0,0,0,0,0,71755.65174,110986.1852,0,0,0,44024.52016,269326.4762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63817.05655,0,0,155250,0,0,0,21944.18831,0,0,0,0,0,0,0,0,0,0,0,7,0
4C,10/3/2016,13,4,3,1,0,1,2,D,9.39,0.25,1.2,24.2,0.125,15.5,,4.2,20,0.164067026,12.20079058,375.1700895,70092.5,230,575,57.5,517.5,4427.5,575,0,0,0,0,402.5,230,57.5,2645,0,230,0,517.5,0,0,0,0,230,0,0,0,0,0,460,402.5,0,0,0,0,0,0,0,0,57.5,0,0,0,0,0,0,0,0,0,0,0,0,0,69862.5,0,0,0,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1137053.468,15106.45299,794880,299786.0182,499437.8337,8751081.82,794880,0,0,0,0,89775.4921,13318.34223,7892.350951,7550266.868,0,246635.9673,0,499437.8337,0,0,0,0,15106.45299,0,0,0,0,0,165739.37,605984.5713,0,0,0,0,0,0,0,0,299786.0182,0,0,0,0,0,0,0,0,0,0,0,0,0,1123735.126,0,0,0,84787.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,86
4D,10/3/2016,13,4,4,1,1,1,3,MD,10.01,0.25,1.9,55.7,0.125,15.4,,8.3,48.67208672,0.058428715,27.59941722,580.0860625,419865,0,977.5,1840,230,34500,57.5,0,0,0,0,230,0,0,17077.5,287.5,115,0,230,805,115,0,0,0,0,0,0,0,0,12822.5,3507.5,0,0,0,0,0,0,0,0,1437.5,0,0,0,0,0,0,0,0,0,0,0,0,0,416875,0,0,0,0,0,0,0,115,0,0,402.5,0,0,0,460,0,0,0,0,0,6779320.346,0,743416.6093,7736353.704,221972.3705,58910804.3,79488,0,0,0,0,51300.28119,0,0,48748462.15,56186.75629,123317.9836,0,221972.3705,654864.7371,9063.871798,0,0,0,0,0,0,0,0,4619984.939,5280722.695,0,0,0,0,0,0,0,0,7494650.453,0,0,0,0,0,0,0,0,0,0,0,0,0,6705415.36,0,0,0,0,0,0,0,27660.74157,0,0,241703.2479,0,0,0,30829.49591,0,0,0,0,2
5A,10/3/2016,13,5,3,0,1,1,1,M,9.37,0.25,2.6,30.1,0.125,15.7,,3.4,31.80487805,0.243332007,14.4306458,460.1178932,115,0,1150,0,9602.5,8855,230,0,0,0,0,57.5,0,0,632.5,0,0,0,9602.5,690,0,0,172.5,0,0,0,0,0,0,3795,632.5,0,0,0,345,0,0,0,115,0,0,0,0,460,0,0,0,0,0,0,0,0,0,115,0,0,230,57.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1849.769754,0,982764.6322,0,9267346.473,6196120.828,317952,0,0,0,0,12825.0703,0,0,1805498.598,0,0,0,9267346.473,561312.632,0,0,31157.0593,0,0,0,0,0,0,1367349.802,952261.4698,0,0,0,127856.0854,0,0,0,395673.6,0,0,0,0,195779.6308,0,0,0,0,0,0,0,0,0,1849.769754,0,0,103500,21196.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
5B,10/3/2016,13,5,4,0,1,1,1,M,9.88,0.25,1.4,36.8,0.125,15.7,,6.3,48.7804878,0.183872659,24.86559269,512.6846778,747.5,1782.5,977.5,460,0,56062.5,57.5,0,0,0,0,460,0,0,5807.5,10407.5,1552.5,0,0,345,575,0,0,1782.5,0,0,0,0,0,35535,805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1207.5,0,0,0,0,0,747.5,0,0,0,57.5,0,0,0,0,0,0,460,0,0,230,0,0,0,0,0,0,12023.5034,117075.0107,405463.6749,276232.2833,0,34579092.48,79488,0,0,0,0,102600.5624,0,0,16577759.86,2033960.578,1664792.779,0,0,280656.316,45319.35898,0,0,117075.0107,0,0,0,0,0,12803366.33,1211969.143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139842.5934,0,0,0,0,0,12023.5034,0,0,0,21196.8,0,0,0,0,0,0,276232.2833,0,0,23603.83281,0,0,0,0,0,0
5C,10/3/2016,13,5,4,1,0,1,2,D,9.36,0.25,1.4,24.4,0.125,15.7,,3.7,48,0.209566905,19.01601835,462.5524094,3162.5,8797.5,862.5,1782.5,0,2875,0,0,0,0,0,402.5,0,0,57.5,0,0,0,0,575,287.5,0,0,8797.5,0,0,0,0,0,1840,575,0,0,0,0,0,0,0,0,1035,0,0,0,0,0,0,0,0,0,0,0,0,0,2242.5,0,0,0,0,0,0,920,0,0,0,747.5,0,0,0,0,0,0,0,0,0,56723.86391,577821.8269,490420.2061,5845025.788,0,1782561.453,0,0,0,0,0,89775.4921,0,0,164136.2362,0,0,0,0,467760.5267,22659.67949,0,0,577821.8269,0,0,0,0,0,662957.4798,865692.2453,0,0,0,0,0,0,0,0,5396148.328,0,0,0,0,0,0,0,0,0,0,0,0,0,36070.51021,0,0,0,0,0,0,20653.35371,0,0,0,448877.4604,0,0,0,0,0,0,0,0,2
5D,10/3/2016,13,5,4,0,0,0,5,O,8.3,0.25,1.2,10.2,0.125,15.8,,0.6,5.398373984,0.241347247,12.49297092,384.7682358,172.5,0,632.5,402.5,517.5,1092.5,575,0,0,0,0,0,0,0,0,0,0,0,517.5,57.5,0,0,0,0,0,57.5,0,0,0,460,57.5,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,230,0,0,0,0,0,172.5,0,0,0,0,0,0,0,0,0,0,230,0,0,230,115,0,0,0,0,0,2774.654632,0,841656.0528,808719.3369,499437.8337,310256.4858,794880,0,0,0,0,0,0,0,0,0,0,0,499437.8337,46776.05267,0,0,0,0,0,71031.15858,0,0,0,165739.37,86569.22453,0,0,0,0,0,0,0,0,599572.0362,0,0,0,0,0,0,0,26636.68446,0,0,0,0,0,2774.654632,0,0,0,0,0,0,0,0,0,0,138116.1417,0,0,23603.83281,7707.37398,0,0,0,0,9
1A,10/10/2016,14,1,1,1,0,1,2,D,8.98,0.25,1.6,25.3,0.125,10.5,103.1,4.1,35.02439024,0.181556725,,,14087.5,13282.5,402.5,690,230,34040,172.5,0,0,0,0,0,0,0,0,0,57.5,0,230,230,0,0,0,13282.5,0,0,0,0,0,28175,4082.5,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,14087.5,0,0,0,0,0,0,0,0,0,0,575,0,0,517.5,1207.5,0,0,0,0,0,226596.7949,872397.6602,425568.2106,944862.3905,221972.3705,16493646.4,238464,0,0,0,0,0,0,0,0,0,61658.99179,0,221972.3705,187104.2106,0,0,0,872397.6602,0,0,0,0,0,10151536.41,6146414.942,0,0,0,0,0,0,0,0,599572.0362,0,0,0,0,0,0,0,0,0,0,0,0,0,226596.7949,0,0,0,0,0,0,0,0,0,0,345290.3542,0,0,53108.62381,80927.42677,0,0,0,,
1B,10/10/2016,14,1,1,0,0,1,4,C,9.5,0.25,2.4,38,0.125,10.4,110,5.3,33.75609756,0.270441403,,,345,0,287.5,287.5,0,34845,230,0,0,0,0,0,0,0,14777.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17710,2357.5,0,0,0,0,0,0,0,0,287.5,0,0,0,0,0,0,0,0,0,0,0,0,0,345,0,0,57.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5549.309263,0,343827,1498930.091,0,52113316.65,317952,0,0,0,0,0,0,0,42183012.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6380965.745,3549338.205,0,0,0,0,0,0,0,0,1498930.091,0,0,0,0,0,0,0,0,0,0,0,0,0,5549.309263,0,0,25875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1C,10/10/2016,14,1,2,0,0,1,4,C,9.61,0.25,1,24,0.125,10.4,131.5,5.1,40.29268293,0.17666169,,,6555,115,230,115,0,47437.5,0,0,0,0,0,0,0,0,17537.5,11557.5,0,0,0,172.5,57.5,0,0,115,0,0,0,0,0,17480,862.5,0,0,0,0,0,0,0,0,115,0,0,287.5,0,0,0,0,0,0,0,0,0,0,6267.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116390.9813,7553.226496,144860.0939,599572.0362,0,59916894.05,0,0,0,0,0,0,0,0,50061552.04,2258707.603,0,0,0,140328.158,4531.935898,0,0,7553.226496,0,0,0,0,0,6298096.061,1298538.368,0,0,0,0,0,0,0,0,599572.0362,0,0,15578.52965,0,0,0,0,0,0,0,0,0,0,100812.4516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1D,10/10/2016,14,1,1,0,0,0,5,O,7.04,0.25,1,6.6,0.125,10.7,91.3,0.4,1.287804878,0.210949988,,,57.5,287.5,57.5,115,0,0,57.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,57.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,924.8848774,18883.06625,79488,599572.0362,0,0,79488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18883.06625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,599572.0362,0,0,0,0,0,0,0,0,0,0,0,0,0,924.8848774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2A,10/10/2016,14,2,1,1,1,1,3,MD,9.39,0.25,1.7,39.3,0.125,10.6,116.5,6.9,16.7804878,0.008632319,,,736000,0,230,632.5,0,21505,230,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,345,19607.5,747.5,0,0,0,0,0,0,0,0,402.5,0,0,0,0,0,0,0,0,0,0,0,0,0,736000,0,0,0,0,0,0,0,0,0,0,230,0,287.5,402.5,0,0,0,0,0,0,11838526.43,0,317952,2236618.269,0,8502724.876,317952,0,0,0,0,0,0,0,0,0,123317.9836,0,0,0,0,0,0,0,0,0,0,0,12578.43433,7064640.647,1125399.919,0,0,0,0,0,0,0,0,2098502.127,0,0,0,0,0,0,0,0,0,0,0,0,0,11838526.43,0,0,0,0,0,0,0,0,0,0,138116.1417,0,135481.1832,41306.70741,0,0,0,0,,
2B,10/10/2016,14,2,3,0,0,1,4,C,9.19,0.25,0.5,17.6,0.125,10.7,104.3,1.8,19.38211382,0.129381923,,,64170,57.5,172.5,57.5,0,12880,172.5,0,0,0,0,0,0,0,57.5,0,0,0,0,0,0,0,0,57.5,0,0,0,0,0,8855,3277.5,0,0,0,0,0,0,0,0,57.5,0,0,1380,0,0,0,0,0,0,0,0,0,0,62790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,690,0,0,0,0,0,1084751.228,3776.613249,238464,299786.0182,0,8335309.152,238464,0,0,0,0,0,0,0,164136.2362,0,0,0,0,0,0,0,0,3776.613249,0,0,0,0,0,3190482.872,4934445.797,0,0,0,0,0,0,0,0,299786.0182,0,0,74776.94232,0,0,0,0,0,0,0,0,0,0,1009974.286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46244.24386,0,0,0,,
2C,10/10/2016,14,2,2,1,1,1,3,MD,9.44,0.25,1.4,35.3,0.125,10.6,112,5.2,16.3902439,0.054871983,,,465750,0,115,632.5,0,28520,115,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,24782.5,1380,0,0,0,0,0,0,0,0,632.5,0,0,0,0,0,0,0,57.5,0,0,0,0,0,465750,0,0,0,0,0,0,0,0,0,0,0,0,0,1495,690,0,0,0,0,0,7491567.504,0,158976,3297646.2,0,11336516.26,158976,0,0,0,0,0,0,0,0,0,123317.9836,0,0,0,0,0,0,0,0,0,0,0,0,8929208.557,2077661.388,0,0,0,0,0,0,0,0,3297646.2,0,0,0,0,0,0,0,6659.171117,0,0,0,0,0,7491567.504,0,0,0,0,0,0,0,0,0,0,0,0,0,153424.9132,46244.24386,0,0,0,,
2D,10/10/2016,14,2,1,0,1,1,1,M,9.2,0.25,0.5,27.3,0.125,10.7,105.4,2.8,6.341463415,0.099743892,,,108330,0,230,57.5,0,9890,57.5,0,0,0,0,0,0,0,0,0,0,0,0,172.5,0,0,0,0,0,0,0,0,230,7935,1380,0,0,0,0,0,0,0,0,57.5,0,0,0,0,0,0,0,0,0,0,0,0,0,108330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345,0,0,0,0,0,1742483.108,0,219816.158,299786.0182,0,4968173.265,79488,0,0,0,0,0,0,0,0,0,0,0,0,140328.158,0,0,0,0,0,0,0,0,8385.622889,2859004.133,2077661.388,0,0,0,0,0,0,0,0,299786.0182,0,0,0,0,0,0,0,0,0,0,0,0,0,1742483.108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23122.12193,0,0,0,,
3A,10/10/2016,14,3,4,0,0,1,4,C,9.68,0.25,1.2,31,0.125,10.7,125.7,5.3,20.87804878,0.23363471,,,39100,115,230,632.5,0,24035,57.5,0,0,0,0,0,0,0,12477.5,9142.5,0,0,0,172.5,0,0,0,115,0,0,0,0,0,2012.5,402.5,0,0,0,0,0,0,0,0,402.5,0,0,0,0,0,0,0,0,0,0,0,0,0,39100,0,0,0,0,0,0,0,0,0,0,230,0,0,0,0,0,0,0,0,0,628921.7164,7553.226496,219816.158,2236618.269,0,38735396.42,79488,0,0,0,0,0,0,0,35617563.26,1786738.85,0,0,0,140328.158,0,0,0,7553.226496,0,0,0,0,0,725109.7438,605984.5713,0,0,0,0,0,0,0,0,2098502.127,0,0,0,0,0,0,0,0,0,0,0,0,0,628921.7164,0,0,0,0,0,0,0,0,0,0,138116.1417,0,0,0,0,0,0,0,,
3B,10/10/2016,14,3,2,0,0,0,5,O,7.14,0.25,1.5,6.9,0.125,10.9,101.1,0.8,7.365853659,0.085622787,,,2760,10752.5,0,172.5,0,230,0,0,0,0,0,0,230,0,0,0,0,0,0,0,0,0,0,10752.5,0,0,0,0,0,230,0,0,0,0,0,0,0,0,0,57.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1897.5,0,0,0,0,0,0,575,57.5,0,0,115,0,0,0,0,0,0,0,0,0,70578.26,706226.6777,0,368844.089,0,82869.685,0,0,0,0,0,0,13318.34223,0,0,0,0,0,0,0,0,0,0,706226.6777,0,0,0,0,0,82869.685,0,0,0,0,0,0,0,0,0,299786.0182,0,0,0,0,0,0,0,0,0,0,0,0,0,30521.20095,0,0,0,0,0,0,12908.34606,13830.37078,0,0,69058.07086,0,0,0,0,0,0,0,,
3C,10/10/2016,14,3,3,0,0,0,5,O,6.8,0.25,1,7.3,0.125,10.9,91,0.3,0.804878049,0.188979008,,,747.5,1380,115,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,0,0,0,0,0,0,517.5,0,0,0,0,0,0,0,0,0,0,0,0,0,15317.05097,90638.71798,158976,0,0,0,158976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90638.71798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3699.539509,0,0,0,0,0,0,11617.51146,0,0,0,0,0,0,0,0,0,0,0,,
3D,10/10/2016,14,3,2,0,1,1,1,M,9.42,0.25,1.1,12.2,0.125,10.9,122.3,1.1,6.682926829,0.430648006,,,6497.5,0,172.5,0,862.5,1840,172.5,0,0,0,0,402.5,460,0,0,0,977.5,0,862.5,0,0,0,0,0,0,0,0,0,0,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4082.5,0,0,0,0,0,0,1955,0,0,0,0,0,0,230,0,0,0,0,0,0,136191.8874,0,238464,0,832396.3896,1244451.871,238464,0,0,0,0,89775.4921,26636.68446,0,0,0,1048202.861,0,832396.3896,0,0,0,0,0,0,0,0,0,0,82869.685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65666.82626,0,0,0,0,0,0,43888.37662,0,0,0,0,0,0,23603.83281,0,0,0,0,,
4A,10/10/2016,14,4,2,1,0,1,2,D,8.51,0.562,0.5,10.1,0.267,10.5,98.6,0.8,1.096399535,0.400146905,,,172.5,0,0,0,345,115,0,0,0,0,0,0,0,0,0,0,57.5,0,345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172.5,0,0,0,0,0,0,0,0,0,0,0,0,0,57.5,0,0,0,0,0,0,2774.654632,0,0,0,332958.5558,67559.94999,0,0,0,0,0,0,0,0,0,0,61658.99179,0,332958.5558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2774.654632,0,0,0,0,0,0,0,0,0,0,0,0,0,5900.9582,0,0,0,0,,
